timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1553628052265,30143,HTTP Request Scenario 2,200,OK,Thread Group 1-1,text,true,,293,3658530,10,10,http://localhost:8081/algorithm/NaiveBayes,30143,0,1
1553628052770,30222,HTTP Request Scenario 2,200,OK,Thread Group 1-2,text,true,,293,3658482,10,10,http://localhost:8081/algorithm/NaiveBayes,30222,0,2
1553628053271,30276,HTTP Request Scenario 2,200,OK,Thread Group 1-3,text,true,,293,3658458,10,10,http://localhost:8081/algorithm/NaiveBayes,30276,0,3
1553628053767,30180,HTTP Request Scenario 2,200,OK,Thread Group 1-4,text,true,,293,3658506,10,10,http://localhost:8081/algorithm/NaiveBayes,30180,0,3
1553628054268,30135,HTTP Request Scenario 2,200,OK,Thread Group 1-5,text,true,,293,3658466,10,10,http://localhost:8081/algorithm/NaiveBayes,30135,0,2
1553628054767,30204,HTTP Request Scenario 2,200,OK,Thread Group 1-6,text,true,,293,3658522,10,10,http://localhost:8081/algorithm/NaiveBayes,30204,0,2
1553628055266,30279,HTTP Request Scenario 2,200,OK,Thread Group 1-7,text,true,,293,3658466,10,10,http://localhost:8081/algorithm/NaiveBayes,30279,0,3
1553628055768,30233,HTTP Request Scenario 2,200,OK,Thread Group 1-8,text,true,,293,3658458,10,10,http://localhost:8081/algorithm/NaiveBayes,30233,0,2
1553628056267,30298,HTTP Request Scenario 2,200,OK,Thread Group 1-9,text,true,,293,3658530,10,10,http://localhost:8081/algorithm/NaiveBayes,30298,0,3
1553628056767,30291,HTTP Request Scenario 2,200,OK,Thread Group 1-10,text,true,,293,3658482,10,10,http://localhost:8081/algorithm/NaiveBayes,30291,0,3
1553628082411,30140,HTTP Request Scenario 2,200,OK,Thread Group 1-1,text,true,,293,3658498,10,10,http://localhost:8081/algorithm/NaiveBayes,30140,0,3
1553628082994,30142,HTTP Request Scenario 2,200,OK,Thread Group 1-2,text,true,,293,3658506,10,10,http://localhost:8081/algorithm/NaiveBayes,30142,0,3
1553628083547,30090,HTTP Request Scenario 2,200,OK,Thread Group 1-3,text,true,,293,3658506,10,10,http://localhost:8081/algorithm/NaiveBayes,30090,0,1
1553628083948,30100,HTTP Request Scenario 2,200,OK,Thread Group 1-4,text,true,,293,3658482,10,10,http://localhost:8081/algorithm/NaiveBayes,30100,0,1
1553628084403,30199,HTTP Request Scenario 2,200,OK,Thread Group 1-5,text,true,,293,3658498,10,10,http://localhost:8081/algorithm/NaiveBayes,30198,0,1
1553628084972,30268,HTTP Request Scenario 2,200,OK,Thread Group 1-6,text,true,,293,3658490,10,10,http://localhost:8081/algorithm/NaiveBayes,30268,0,1
1553628085546,30427,HTTP Request Scenario 2,200,OK,Thread Group 1-7,text,true,,293,3658522,10,10,http://localhost:8081/algorithm/NaiveBayes,30427,0,1
1553628086002,30445,HTTP Request Scenario 2,200,OK,Thread Group 1-8,text,true,,293,3658474,10,10,http://localhost:8081/algorithm/NaiveBayes,30445,0,1
1553628087058,30563,HTTP Request Scenario 2,200,OK,Thread Group 1-10,text,true,,293,3658514,10,10,http://localhost:8081/algorithm/NaiveBayes,30563,0,1
1553628086566,31208,HTTP Request Scenario 2,200,OK,Thread Group 1-9,text,true,,293,3658490,10,10,http://localhost:8081/algorithm/NaiveBayes,31208,0,0
1553628112554,30134,HTTP Request Scenario 2,200,OK,Thread Group 1-1,text,true,,293,3658506,10,10,http://localhost:8081/algorithm/NaiveBayes,30134,0,3
1553628113139,30159,HTTP Request Scenario 2,200,OK,Thread Group 1-2,text,true,,293,3658522,10,10,http://localhost:8081/algorithm/NaiveBayes,30159,0,3
1553628113639,30080,HTTP Request Scenario 2,200,OK,Thread Group 1-3,text,true,,293,3658474,10,10,http://localhost:8081/algorithm/NaiveBayes,30080,0,0
